trade_time,symbol,open,high,low,close,volume
2026-03-13T11:35:00.000Z,2885_NSE,1394.3,1394.5,1393.7,1393.7,403405623
2026-03-13T11:34:00.000Z,2885_NSE,1394.5,1394.6,1393.6,1394.4,402614118
2026-03-13T11:33:00.000Z,2885_NSE,1392.4,1394.5,1392,1394.5,400942435
2026-03-13T11:32:00.000Z,2885_NSE,1391.7,1392.7,1391.2,1391.4,397814461
2026-03-13T11:31:00.000Z,2885_NSE,1391.3,1392.1,1389.6,1391.4,392636266
2026-03-13T11:30:00.000Z,2885_NSE,1391.9,1392.4,1391.3,1391.3,181985951
2026-03-13T11:28:00.000Z,2885_NSE,1390.9,1391.9,1390.6,1391.3,355735584
2026-03-13T11:27:00.000Z,2885_NSE,1390.3,1391,1390,1391,387389342
2026-03-13T11:27:00.000Z,2885_NSE,1390.1,1391,1389.9,1391,385988399
2026-03-13T11:26:00.000Z,2885_NSE,1390,1390.1,1389.6,1390,385001546
2026-03-13T11:25:00.000Z,2885_NSE,1390,1390.5,1389.5,1390,384085151
2026-03-13T11:24:00.000Z,2885_NSE,1388.2,1390,1387.1,1389.6,381496281
2026-03-13T11:23:00.000Z,2885_NSE,1390,1390,1388,1388.2,246022278
2026-03-13T11:22:00.000Z,2885_NSE,1389.7,1390,1389.7,1390,338597897
2026-03-13T11:21:00.000Z,2885_NSE,1390.3,1390.6,1389.6,1390,218611443
